date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:50	8714/8714	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Sep%202019%2009:35:30%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-1.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-1.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:21:51	398/398	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:21:51%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-2.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-2.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:21:51	7389/7389	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Sep%202019%2009:35:30%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-2.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-2.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:21:52	398/398	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:21:51%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-3.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-3.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:21:52	8747/8747	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Sep%202019%2009:35:30%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-3.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-3.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:21:52	398/398	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:21:52%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-4.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-4.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:21:52	7136/7136	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Sep%202019%2009:35:30%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-4.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-4.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:21:53	398/398	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:21:53%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-5.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-5.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:21:53	15839/15839	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Sep%202019%2009:35:30%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-5.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-5.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:21:54	398/398	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:21:54%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-6.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-6.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
